Name,Address,Country,City
TRAIN STATION COFFEE,"NO.40,  JALAN TODAK 3,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG",3,16
STATION ONE COFFEE,"NO.3203,  JALAN MAJU,  TAMAN MAJU UTAMA ,  13700,  BUKIT MERTAJAM,  PULAU PINANG",3,16
STARBUCKS COFFEE," JALAN PERUSAHAAN,   AUTOCITY,  13600,  PRAI,  PULAU PINANG",3,16
DOME CAFE," JALAN SRI TANJONG PINANG,   10470,  TANJONG TOKONG,  PULAU PINANG",3,16
OLDTOWN WHITE COFFEE," JALAN PERUSAHAAN,   AUTOCITY,  13600,  PRAI,  PULAU PINANG",3,16
OLDTOWN WHITE COFFEE," LORONG MAJU UTAMA 2,  PUSAT PERNIAGAAN MAJU UTAMA ,  14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
WINTERS WARMERS COFFEE & TEA HOUSE," JALAN PERUSAHAAN,   AUTOCITY,  13600,  BUKIT MERTAJAM,  PULAU PINANG",3,16
ROTI BAKAR KOPITIAM," LEBUHRAYA THEAN TEIK,   11500,  AYER ITAM,  PULAU PINANG",3,16
COFFEE BEAN," JALAN SRI TANJONG PINANG,   10470,  TANJONG TOKONG,  PULAU PINANG",3,16
STARBUCKS COFFEE," JALAN SRI TANJONG PINANG,   10470,  TANJONG TOKONG,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE,"NO.4A/B,  LEBUH PANTAI,   10500,  GEORGE TOWN,  PULAU PINANG",3,16
OLDTOWN WHITE COFFEE,"LOT 536,  JALAN LEBUH PANTAI,   10500,  GEORGE TOWN,  PULAU PINANG",3,16
APEX COFFEE,"NO.2,  LORONG TERAS JAYA 8,  KAWASAN PERNIAGAAN TERAS JAYA ,  13400,  BUTTERWORTH,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE,"LOT 4535,  TINGKAT BUKIT MINYAK 9,  TAMAN BUKIT MINYAK ,  14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE,"NO.1,  MEDAN SERI IMPIAN 1,  PUSAT PERNIAGAAN SERI IMPIAN ,  14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
WHO'S BRYAN COFFEE & CUISINE," LEBUHRAYA THEAN TEIK,   11500,  AYER ITAM,  PULAU PINANG",3,16
D'HERITAGE COFFEE & CHOCOLATE HOUSE," LORONG HASSAN ABBAS 6,   11050,  TELUK BAHANG,  PULAU PINANG",3,16
STARBUCKS COFFEE,"NO.4G,  JALAN PANTAI MOLEK,   10470,  TANJONG TOKONG,  PULAU PINANG",3,16
BLACK CANYON COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG",3,16
WINTERS WARMERS COFFEE & TEA HOUSE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG",3,16
OLDTOWN WHITE COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE," PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG",3,16
PACIFIC COFFEE COMPANY,"NO.163D,  PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG",3,16
STARBUCKS COFFEE,"NO.163D,  PERSIARAN GURNEY,   10250,  GEORGE TOWN,  PULAU PINANG",3,16
PINANG KOPITIAM,"LOT 7588,  JALAN  SULTAN AZLAN SHAH,   11900,  BAYAN LEPAS,  PULAU PINANG",3,16
OLDTOWN WHITE COFFEE,"LOT 7588,  JALAN  SULTAN AZLAN SHAH,   11900,  BAYAN LEPAS,  PULAU PINANG",3,16
STARBUCKS COFFEE,"LOT 7588,  JALAN  SULTAN AZLAN SHAH,   11900,  BAYAN LEPAS,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE,"NO.139,  JALAN LEBUH CARNARVON,   10200,  GEORGE TOWN,  PULAU PINANG",3,16
BIG APPLE DONUTS & COFFEE," JALAN ROZHAN ALMA,   14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
WINTERS WARMERS COFFEE & TEA HOUSE," JALAN ROZHAN ALMA,   14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
STARBUCKS COFFEE," JALAN ROZHAN ALMA,   14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
OLDTOWN WHITE COFFEE,"LOT NO 9-1 & 11-1,  JALAN DAGANGAN 7,   PUSAT BANDAR BERTAM PERDANA,  13200,  KEPALA BATAS,  PULAU PINANG",3,16
STARBUCKS COFFEE,"LOT 555,  KARPAL SINGH DRIVE,   BANDAR SRI PINANG,  11600,  GEORGE TOWN,  PULAU PINANG",3,16
KAFFA ESPRESSO BAR,"LOT 7588,  JALAN  SULTAN AZLAN SHAH,   11900,  BAYAN LEPAS,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE,"NO.30,  LORONG TERAS JAYA 8,  KAWASAN PERNIAGAAN TERAS JAYA ,  13400,  BUTTERWORTH,  PULAU PINANG",3,16
WHO'S BRYAN COFFEE & CUISINE,"NO.65,  LORONG TERAS JAYA 2,  KAWASAN PERNIAGAAN TERAS JAYA ,  13400,  BUTTERWORTH,  PULAU PINANG",3,16
BIG APPLE DONUTS & COFFEE,"3068,  JALAN TODAK,   PUSAT BANDAR SEBERANG JAYA,  13700,  SEBERANG JAYA,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE,"NO.1,  JALAN PERNIAGAAN GEMILANG 1,  PUSAT PERNIAGAAN GEMILANG ,  14000,  BUKIT MERTAJAM,  PULAU PINANG",3,16
KOPITAN CLASSIC WHITE COFFEE," JALAN MAYANG PASIR 3,  ELIT AVENUE ,  11950,  BAYAN LEPAS,  PULAU PINANG",3,16
