CATEGORY,NAME OF BRAND,ADDRESS,POSTAL CODE
Bakery,Jack's Place,"PARKWAY PARADE, 80 Marine Parade Road, #01-30",449269
Bakery,Jack's Place,"SAFRA Punggol, 6 Sentul Crescent, #01-01",828654
Bakery,Jack's Place,"SAFRA JURONG CLUB, 333 Boon Lay Way, #2A-01",649848
Bakery,Jack's Place,"WEST COAST, Recreation Center, 12 West Coast Walk, #01-04/05/06",127157
Bakery,Jack's Place,"WOODLANDS CIVIC CENTER, #02-05/06",730900
Bakery,Jason Niang Dou Fu,321 Beach Road Singapore 199557,199557
Cafe (Food),Juz Bread,"106A Punggol, Punggol Field #01-550 Singapore 821106",821106
Cafe (Food),Juz Bread,"735 Pasir Ris Street, Pasir Ris West Plaza #01-308 Singapore 510735",510735
Cafe (Food),Juz Bread,28 Dover Crescent #01-95 Singapore 130028,130028
Cafe (Food),Juz Bread,"118 Rivervale Drive, Rivervale Mall #01-04 Singapore 540118",540118
Restaurant,Juz Bread,"301 Punggol Drive, Punggol Central #01-05 Singapore 820301",820301
Restaurant,K G Catering,171 Kampong Ampat #06-30 KA Foodlink Singapore 368330,368330
Restaurant,Kaffe & Toast,11 Jalan Tan Tock Seng #B1-01 Tan Tock Seng Hospital Singapore 308433,308433
Restaurant/Caterer,Kaffe & Toast,110 Sengkang E Way #B1-01 Sengkang General Hospital Singapore 544886,544886
Food Court,Kaffe & Toast,5 Hospital Drive #2 CAF-02 National Heart Centre Singapore 169608,169609
Food Court,Kaffe & Toast,Outram Road Block 4 Level 1 Singapore General Hospital Singapore 169608,169608
Food Court,Kaisen Ichi,"40 Pasir Panjang Road, Maple Business City #02-36 Singapore 117383",117383
Food Court,Kaki Makan,2 Outram Road Block 3 Singapore General Hospital Level 1 Singapore 169608,169608
Food Court,Kampong,104/106 Jalan Besar,208808
Food Court,Kampong,3500A Bukit Merah Central,159837
Food Court,Kopitiam,No 930 Yishun Avenue 2 #B2-10 Northpoint S(769098),769098
Food Court,Kopitiam,"No. 6A Simei Street 3, IB@Changi General Hospital, Singapore 529905",529905
Food Court,Kopitiam,2 Simei Street 3,529889
Food Court,Kopitiam,No 1 Hougang Street 91 #01-19 Hougang One S(538692),538692
Food Court,Kopitiam,No 2 Jurong East Central 1 #B1-19 JCube S(609731),609731
Food Court,Kopitiam,"1 Jurong West Central 2, Jurong Point Shopping Centre, #B1-42/43/44, Singapore 648886",648886
Food Court,Kopitiam,"63 Jurong West Central 3 #03-34/39 Jurong Point, S(648331)",648331
Food Court,Kopitiam,No. 100 Bukit Timah Road Level 1 KK Women's and Children's Hospital S(229899),229899
Food Court,Kopitiam,No. 238 Thomson Road #03-47/56 Novena Square S(307683),307683
Food Court,Kopitiam,No. 5 Lower Kent Ridge Road Main Building Lobby Level 1 National University Hospital S(119074),119074
Food Court,Kopitiam,10 College Road S(169851),169608
Food Court,Kopitiam,"Outram Road, Blk 7 Level 1 @ Singapore General Hospital, S(169608)",169608
Food Court,Kopitiam,30 Sembawang Drive,757713
Food Court,Kopitiam,"3 Temasek Boulevard #03-367/368/369/370 Tower 3, Suntec City Mall S(038983)",38983
Food Court,Kopitiam,"Tampines Mall, 4 Tampines Central 5, 529510",529510
Food Court,Kopitiam,10 Tampines Central 1 #05-05/06/07 S(529536),529536
Food Court,Kopitiam,60 Airport Boulevard Terminal 2 Changi Airport Level 3M,819643
Food Court,Kopitiam,No. 65 Airport Boulevard Basement 2 Mall S(819663),819663
Food Court,Kopitiam,No. 302 Tiong Bahru Road #03-31/55 Tiong Bahru Plaza S(168732),168732
Food Court,Kopitiam,11 Jalan Tan Tock Seng #01-13/14/15 S(308433),308433
Food Court,Kopitiam,Kopitiam V Hotel No 70 Jellicoe Road #01-03 V Hotel S(208767),208767
Food Court,Kopitiam,68 Orchard Road Plaza Singapura #06-15/20 S(238839),238839
Food Court,Kopitiam,1 Jelebu Road Bukit Panjang Plaza #03-08 S(677743),677743
Food Court,Kopitiam,Harbourfront walk Vivocity #B2-39,98585
Food Court,Kopitiam,1 Jurong East Street 21 Tower B Ng Teng Fong General Hospital #02-01,609606
Food Court,Kopitiam,2 Jurong East Street 21 IMM Building #03-55,609601
Food Court,Kopitiam,2 Yishun Central 2,768024
Food Court,Kopitiam,1 Sengkang Drive Compass Point #04-14/19,545078
Food Court,Kopitiam,Blk 118 Rivervale Drive Rivervale Plaza #02-14,540118
Food Court,Kopitiam,"1 Maritime Square, Harbourfront Centre, #01-103/104/105/107/108 Singapore 099253",99253
Food Court,Kopitiam,"17 Petir Road, Hillion Mall #02-18/19 Singapore 678278",678278
Food Court,Kopitiam,"Singapore Post Centre, 10 Eunos Road 8, #03-102/103/104, Singapore 408600",408600
Food Court,Kopitiam,"1 Seletar Road, Greenwich V #01-09/10, Singapore 807011",807011
Food Court,Kopitiam,"Blk 231 Sumang Lane, Singapore 822231",822231
Food Court,NAME OF BRAND,ADDRESS,POSTAL CODE
Food Court,Kopitiam,"10 Jurong East Street 12, Jurong East MRt Station, #01-01, Singapore 609690",609690
Food Court,Koufu,"2 Ang Mo Kio Drive, #01-14 to 29, ITE College Central",567720
Food Court,Koufu,9 woodlands Ave 9 South Food Court Level 1,738964
Food Court,Koufu,535 Clementi Road Blk 51 Level 2,599489
Food Court,Koufu,1 Create Way (University Town) #01-04,138602
Food Court,Koufu,"50 Nanyang Avenue, South Spine Food Court",639798
Food Court,Koufu,"100 Tras Street #04-04/05, 100 AM Shopping Mall",79027
Food Court,Koufu,478 Tampines Street 44 #01-221,520478
Food Court,Koufu,Anchorpoint 370 Alexandra road #B1-20/21 S(159953),159953
Food Court,Koufu,"8 Grange Road, #B1-01",239693
Food Court,Koufu,88 Tanglin Halt Road Unit No. 88,141088
Food Court,Koufu,263 Compassvale Street #01-09,540263
Food Court,Koufu,57 Dawson Road #02-09/10,142057
Food Court,Koufu,1 Kaki Bukit Road 1 #01-18,415934
Food Court,Koufu,445 Fajar Road #01-548,670548
Food Court,Koufu,#01-308 Gek Poh Shopping Centre (762 Jurong West St 75),640760
Food Court,Koufu,480 Toa Payoh Lor 6 #B1-01,310480
Food Court,Koufu,470 Toa Payoh Lor 6 #02-07,310470
Food Court,Koufu,"50 Jurong Gateway Road,  #05-01",608549
Food Court,Koufu,258 Pasir Ris Street 21 #02-09,510258
Food Court,Koufu,6 Raffles Boulevard #04-101/102,39594
Food Court,Koufu,735 Pasir Ris Street 72 #01-336,510735
Food Court,Koufu,638A Jurong West St 61 #01-22,641638
Food Court,Koufu,168 Punggol Field #01-01,820168
Food Court,Koufu,"Blk 118 Rivervale Drive, #02-15/16",540118
Food Court,Koufu,Sembawang  Mart Blk 511 Canberra Road #01-01 S(750511),750511
Food Court,Koufu,110 Sengkang East Way #01-21,544886
Food Court,Koufu,"Square 2, 10 Sinaran Drive, #04-14 - 19/56 - 73, Singapore 307506",307506
Food Court,Koufu,399 Yung Sheng Road #01-43,610399
Food Court,Koufu,The Star Vista 1 Vista Exchange Green #02-25/26 S(138617),138617
Food Court,Koufu,"301 Upper Thomson Road, #01-113",574408
Cafe (Food),Koufu,"Blk 500, Toa Payoh  Lorong 6, #02-30",310500
Cafe (Food),Koufu,83 Punggol Central,828761
Cafe (Food),Koufu,1 Bukit Batok Central Link #04-01,658713
Cafe (Food),Koufu,1 Pasir Ris Central Street 3 #03-01,518457
Cafe (Food),Koufu,Woodlands Mart Blk 768 Woodlands Ave 6 #01-32 S(730768),730768
Cafe (Food),Koufu,Yew Tee Point 21 Choa Chu Kang North 6 #B1-17122 S(689578),689578
Cafe (Food),Kraftwich  by Swissba,"1 Wallich Street, Tanjong Pagar Centre, S078881",78881
Cafe (Food),Kraftwich  by Swissba,"17 Petir Road B1-16, Hillion Mall, S678278",678278
Restaurant,Kraftwich  by Swissba,"7 Central Boulevard, B1-31/32, 018936",18936
Cafe (Food),Kraftwich by Swissbak,"The Central, 6 Eu Tong Sen Street, #01-53",59817
Bakery,Kraftwich by Swissbak,"60 Paya Lebar Road, #01-09/10/11",409051
Bakery,Kraftwich by Swissbak,"SMU School of Accountancy and School of Law, 60 Stamford Road, #01-11",178900
Bakery,Kraftwich by Swissbak,One Raffles Place Tower 1 #B1-04/05,48616
Bakery,Kriston Gourmet,5 Lorong Napiri #5 Bright Vision Hospital Singapore 547530,547530
Bakery,Lao Bei Jing,238 Thomson Road #02-11/12 Velocity @ Novena Square Singapore 307683,307683
Event Caterer,Ma Mum,100 Bukit Timah Road #01-33 KK Women's and Children's Hospital Singapore 229899,229899
Restaurant,MK Levure Naturelle,"460 Alexandra Road, Alexandra Retail Centre #01-08 Singapore 119963",119963
Restaurant,MK Levure Naturelle,"1 Stadium Place, Kallang Wave Mall #01-30 Singapore 397628",397628
Restaurant,MK Levure Naturelle,"200 Holland Ave, Holland Village MRT Station #B1-08/09 Singapore 278995",278995
Restaurant,MK Levure Naturelle,"5 Raffles Place, OUB Centre #B1-23 Singapore 048616",48616
Restaurant,MK Levure Naturelle,"1 Fusionopolis Way, Connexis  #B2-01 Singapore 138632",138632
Restaurant,Mum's Kitchen Caterin,3015 Bedok North Street 5 #02-06 Shimei East Kitchen S486350,486350
Restaurant,Munch,112 Robinson Road #01-01 Singapore 068902,68902
Food Court,Munch,One Raffles Place #B1-16 Singapore 048616,48616
Food Court,Munch,15 Central Boulevard Downtown Line #B1-04 Singapore 018969,18969
Food Court,Munch,60 Paya Lebar Road #01-85/86 Singapore 409051,409051
Bakery/Cafe,Munch,16 Enggor Street #01-10 Singapore 079717,79717
Bakery/Cafe,Munch,302 Tiong Bahru Road #01-161 Tiong Bahru Plaza Singapore 168732,168732
